AV,HS,BA,Fibroblast,Vascular_Lymphatic,Immune
PIGR,TCIM,KRT14,LUM,IFI27,SRGN
SLPI,AGR3,KRT5,DCN,CLDN5,CXCR4
CCL28,TFF3,KRT17,CXCL12,ACKR1,RGS1
KRT23,AZGP1,SFN,COL1A2,FABP4,CCL5
LTF,AGR2,ACTG2,MFAP4,IGFBP7,LAPTM5
CLDN3,ANKRD30A,MYLK,CFD,RAMP2,CCL4
ALDH1A3,TFF1,SAA1,SFRP2,PLVAP,ARHGDIB
SNORC,BATF,C2orf40,DPT,PECAM1,GPR183
MMP7,TMC5,DST,COL3A1,ESAM,CD7
GABRP,C15orf48,LAMB3,COL1A1,PCAT19,IL7R
CDC42EP1,MLPH,SERPINB5,CTSK,ECSCR,PTPRC
PDZK1IP1,EFHD1,MIA,TNFAIP6,EMCN,SAMSN1
KRT15,STC2,NEDD4L,IGF1,GNG11,CD69
PPP1R1B,FBP1,ACTA2,SPON2,CD36,CD52
S100A9,ZG16B,CNN1,C11orf96,ADGRL4,CD3D
CRABP1,SQOR,OXTR,SOD3,ANGPT2,CYTIP
ELF5,LURAP1L,STK17A,PLAC9,SLC2A3,TRBC2
S100A1,KIAA1324,AMIGO2,LSP1,IL6,CST7
LCN2,SPDEF,IRF6,SRPX,RAMP3,SYTL3
SCGB3A1,ACADSB,S100A2,TMEM176B,C2CD4B,CREM
ROPN1B,BAMBI,CRYAB,COL6A3,NRN1,CD37
LIF,CIB1,SYNM,OLFML3,STC1,ALOX5AP
BBC3,RAB11FIP1,TES,PTGDS,SELE,CD3E
NDRG2,SMIM14,SPP1,FXYD1,APOLD1,CCL3
PHLDA2,GJC3,SYT8,C1S,CLEC14A,CD53
RCAN1,PKIB,MYH11,PCOLCE,MGLL,KLRB1
YWHAH,RASEF,FBXO2,PDGFRL,SOX17,LEPROTL1
HMGA1,MUC1,PPP1R14A,FBLN1,CD34,CCL4L2
SDC4,SCCPDH,LAMC2,FBLN5,RBP7,TYROBP
IQCG,ALB,ARHGEF35,APOD,EGFL7,CD8A
CALML5,AFF3,ADRB2,DLK1,ENG,ISG20
PI3,RBM47,COL17A1,ALDH1A1,THBD,LINC01871
CXCL2,SYTL2,HBEGF,VCAN,TSPAN7,HCST
SELENBP1,FOXA1,LAMA3,CD99,GIMAP7,HLA-DQA1
IGF2BP2,FASN,SGK1,CFH,ADAMTS4,TGFB1
RARRES1,SLC40A1,TNS4,RARRES2,NPDC1,CLEC2D
PPA1,SCUBE2,TPM1,TMEM176A,AQP1,IL1B
KRTCAP3,AR,FBXO32,CRISPLD2,FAM107A,TSC22D3
TTYH1,BSPRY,TAGLN,PLXDC1,CCL14,SPOCK2
SLC25A37,PIP,ANO1,MMP2,SLC9A3R2,HLA-DQB1
PLPP2,VSIG2,BEX2,CCDC80,VWF,CD48
EIF4EBP1,CA12,WIF1,FBLN2,ICAM2,FCER1G
MTHFD2L,STARD10,ACTN1,TWIST2,SOCS2,TRAC
FAM3B,TSPAN15,TFAP2C,BGN,MGST2,SMAP2
SPTSSA,FAM102A,GAN,COL15A1,ADIRF,CD2
SCGB1D2,MAL2,CALML3,SERPINF1,HYAL2,CYBA
SH3YL1,CAPG,CDH3,F2R,AKAP12,STK4
LINC01198,H2AFJ,ACTN4,HTRA1,CXorf36,C1QA
DBI,CYB5A,SEMA3C,OAF,GIMAP4,C1QC
PTRHD1,NUCB2,CD200,HTRA3,ADAMTS9,C1QB
CD14,S100A14,IL17B,FGF7,LMCD1,TRBC1
FOLR1,TSPAN13,C9orf3,OGN,SPRY1,IL2RG
DAPP1,TPD52,SLMAP,TAC1,GIMAP6,CORO1A
SCGB2A2,WFDC2,IRX1,NR2F1,CSF3,FYN
ANKRD36C,SLC39A6,GRP,VEGFD,PDK4,NKG7
SLC5A6,ELOVL5,DKK3,FN1,HMOX1,RHOH
LIPH,AREG,PDLIM3,C3,RND1,SERPINB9
CDC42EP5,PTP4A2,FAM126A,RCN3,VAMP5,WIPF1
FGFBP1,XBP1,PTP4A1,LRP1,IFIT3,GMFG